year,china_birth,japan_birth,usa_birth,china_death,japan_death,usa_death
1960,20.86,17.3,23.7,25.43,7.6,9.5
1961,18.02,17,23.3,14.24,7.4,9.3
1962,37.01,17.1,22.4,10.02,7.5,9.5
1963,43.37,17.4,21.7,10.04,7,9.6
1964,39.14,17.8,21.1,11.5,6.9,9.4
1965,37.88,18.7,19.4,9.5,7.1,9.4
1966,35.05,13.8,18.4,8.83,6.8,9.5
1967,33.96,19.4,17.8,8.43,6.7,9.4
1968,35.59,18.7,17.6,8.21,6.8,9.8
1969,34.11,18.5,17.9,8.03,6.8,9.5
1970,33.43,18.7,18.4,7.6,6.9,9.5
1971,30.65,19.1,17.2,7.32,6.5,9.3
1972,29.77,19.2,15.6,7.61,6.4,9.4
1973,27.93,19.4,14.8,7.04,6.6,9.3
1974,24.82,18.4,14.8,7.34,6.4,9.1
1975,23.01,17,14.6,7.32,6.2,8.8
1976,19.91,16.2,14.6,7.25,6.2,8.8
1977,18.93,15.4,15.1,6.87,6,8.6
1978,18.25,14.8,15,6.25,6,8.7
1979,17.82,14.1,15.6,6.21,5.9,8.5
1980,18.21,13.5,15.9,6.34,6.1,8.8
1981,20.91,13,15.8,6.36,6.1,8.6
1982,22.28,12.8,15.9,6.6,6,8.5
1983,20.19,12.7,15.6,6.9,6.2,8.6
1984,19.9,12.5,15.6,6.82,6.2,8.7
1985,21.04,11.9,15.8,6.78,6.2,8.7
1986,22.43,11.4,15.6,6.86,6.2,8.7
1987,23.33,11.1,15.7,6.72,6.7,8.6
1988,22.37,10.8,16,6.64,6.5,8.9
1989,21.58,10.2,16.4,6.54,6.4,8.8
1990,21.06,10,16.7,6.67,6.7,8.6
1991,19.68,9.9,16.2,6.7,6.7,8.6
1992,18.27,9.8,15.8,6.64,6.9,8.5
1993,18.09,9.6,15.4,6.64,7.1,8.8
1994,17.7,10,15,6.49,7.1,8.8
1995,17.12,9.54,14.6,6.57,7.41,8.8
1996,16.98,9.6,14.4,6.56,7.1,8.8
1997,16.57,9.5,14.2,6.51,7.3,8.7
1998,15.64,9.6,14.3,6.5,7.5,8.6
1999,14.64,9.3,14.2,6.46,7.8,8.6
2000,14.03,9.4,14.4,6.45,7.7,8.5
2001,13.38,9.3,14.1,6.43,7.7,8.5
2002,12.86,9.3,14,6.41,8.1,8.5
2003,12.41,9.2,14.1,6.4,8.4,8.4
2004,12.29,8.693604565,14,6.42,8.050859795,8.2
2005,12.4,8.413292219,14,6.51,8.530753759,8.3
2006,12.09,8.65,14.3,6.81,8.53,8.1
2007,12.1,8.63,14.3,6.93,8.71,8
2008,12.14,8.7,14,7.06,9.1,8.1
2009,12.13,8.5,13.5,7.08,9.1,7.9
2010,11.9,8.5,13,7.11,9.5,7.995
2011,11.93,8.3,12.7,7.14,9.9,8.073
2012,12.1,8.2,12.6,7.15,10,8.102
2013,12.08,8.2,12.4,7.16,10.1,8.215
2014,12.37,8,12.5,7.16,10.1,8.237
2015,12.07,8,12.4,7.11,10.3,8.44
2016,12.95,7.8,12.2,7.09,10.5,8.493
2017,12.43,7.6,11.8,7.11,10.8,8.638
2018,10.9,7.4,11.6,7.1,11,8.6
